name,platform,dependents_count,dependent_repos_count,stars,forks,contributions_count,rank,gap,reverse_gap,hidden_score,critical_fragile,staleness_years,release_count,releases_per_year,first_release_year,last_release_year,license,domain,repo_host,repo_org,status,deprecation_reason,cluster,keywords_text
arr-union,npm,960,560,24,10,1,20,0.2337605264123841,-0.2337605264123841,0.4588234977232133,4.3594513946636475,9.875427789185489,6,2.0,2014,2016,MIT,other,github.com,jonschlinkert,,,3,add append array arrays combine concat extend union uniq unique util utility utils
p-finally,npm,971,508,45,8,3,16,0.2809484825895159,-0.2809484825895159,0.407444189850289,2.262315455894967,4.7501711156741955,4,0.6666666666666666,2016,2021,MIT,ml,github.com,sindresorhus,Deprecated,Deprecated,5,promise finally handler function async await promises settled ponyfill polyfill shim bluebird
gaze,npm,961,589,1153,168,35,23,0.21232306039566895,-0.21232306039566895,-0.6136509013014949,1.237014438981324,7.6331279945242985,32,4.571428571428571,2012,2018,MIT,other,github.com,shama,,,3,watch glob watch-files
@stdlib/error-tools-fmtprodmsg,npm,959,958,2,0,2,17,0.00045262586890482126,-0.00045262586890482126,0.8118166263496192,2.1490318536066826,1.4510609171800137,7,2.3333333333333335,2022,2024,Apache-2.0,devtools,github.com,stdlib-js,,,5,stdlib stdutils stdutil utils util utilities utility error err message msg format fmt minify minification javascript node node-js nodejs
webrtc-adapter,npm,961,371,3734,859,83,23,0.4126321321559159,-0.4126321321559159,-0.6694348677551023,-1.7541599768094203,0.7145790554414785,123,10.25,2014,2025,BSD-3-Clause,web,github.com,webrtchacks,,,5,polyfill webrtc webrtc-adapter
@beisen/webpack,npm,965,5,0,0,0,11,2.20682587603185,-2.20682587603185,4.443950649926064,4.767340214354544,6.965092402464066,6,3.0,2018,2019,ISC,other,,,,,6,
is-path-cwd,npm,957,436,19,8,7,21,0.34088407210812255,-0.34088407210812255,0.683237376052149,0.7916753998959282,0.6625598904859685,8,0.6666666666666666,2014,2025,MIT,other,github.com,sindresorhus,,,5,path cwd pwd check filepath file folder
map-obj,npm,1135,581,216,43,11,23,0.2904553467251114,-0.2904553467251114,-0.002122658923027987,-0.014852854182408337,0.29842573579739906,14,1.1666666666666667,2014,2025,MIT,other,github.com,sindresorhus,,,1,map object key keys value values iterate iterator rename modify deep recurse recursive
@cosmjs/amino,npm,955,249,695,408,98,20,0.5825178836040625,-0.5825178836040625,-0.006655147143777379,-1.6519004363746888,0.02190280629705681,82,16.4,2021,2025,Apache-2.0,other,github.com,cosmos,,,0,
coffee-coverage,npm,963,771,145,31,21,20,0.09645973356709492,-0.09645973356709492,-0.21137523102567918,1.8630210250425971,7.066392881587953,37,5.285714285714286,2012,2018,MIT,testing,github.com,benbria,,,2,javascript coffeescript coverage code coverage test unit test istanbul jscoverage coveralls
@polkadot/util,npm,956,265,260,152,86,21,0.5560303011457766,-0.5560303011457766,0.2354068659170679,-1.289161671122655,0.08213552361396304,1426,158.44444444444446,2017,2025,Apache-2.0,multi,github.com,polkadot-js,,,0,blockchain crypto polkadot polkadot-js substrate utilities
css-what,npm,953,399,245,49,26,22,0.37748838337613266,-0.37748838337613266,0.0629122589638976,-0.5022003463411201,0.5256673511293635,28,2.5454545454545454,2015,2025,BSD-2-Clause,web,github.com,fb55,,,5,css css-selector-parser javascript selector
nightwatch,npm,954,305,11942,1411,155,21,0.4942819451021663,-0.4942819451021663,-0.8536584693739546,-2.5735524875375413,0.04380561259411362,366,30.5,2014,2025,MIT,web,github.com,nightwatchjs,,,0,nightwatch nightwatchjs selenium testing webdriver browserstack end-to-end automated-testing e2e component integration test browser mobile runner appium cucumber mocha automation chromedriver end-to-end-testing hacktoberfest javascript nodejs selenium-server selenium-webdriver w3c-webdriver
md5-file,npm,961,478,214,20,6,21,0.30283955862324996,-0.30283955862324996,0.017272114008173578,1.8960738501903787,5.760438056125941,32,4.571428571428571,2014,2020,MIT,other,github.com,roryrjb,,,3,md5 md5sum checksum integrity verification
reactify,npm,951,674,690,68,13,22,0.1493331755534495,-0.1493331755534495,-0.5511234266550489,2.8098977239771,10.661190965092402,43,14.333333333333334,2013,2015,MIT,web,github.com,andreypopp,,,3,react browserify browserify-transform jsx js plugin transform
