metric,emotion,value,split,model,genre
spearman,calmness,0.39009711646392226,leave_one_genre_out,XGBoost,classical
ece,calmness,0.11512352894248465,leave_one_genre_out,XGBoost,classical
mae,power,0.09770826833163616,leave_one_genre_out,XGBoost,classical
pearson,power,0.505588551565632,leave_one_genre_out,XGBoost,classical
spearman,power,0.5447169558548723,leave_one_genre_out,XGBoost,classical
ece,power,0.031098900359167035,leave_one_genre_out,XGBoost,classical
mae,joy,0.2228462905843439,leave_one_genre_out,XGBoost,classical
pearson,joy,0.394619812432067,leave_one_genre_out,XGBoost,classical
spearman,joy,0.4255311999532951,leave_one_genre_out,XGBoost,classical
ece,joy,0.19782159713396205,leave_one_genre_out,XGBoost,classical
mae,tension,0.13932980589972255,leave_one_genre_out,XGBoost,classical
pearson,tension,-0.05867505198267515,leave_one_genre_out,XGBoost,classical
spearman,tension,-0.07367964038095356,leave_one_genre_out,XGBoost,classical
ece,tension,0.03986249842489675,leave_one_genre_out,XGBoost,classical
mae,sadness,0.17355600809700758,leave_one_genre_out,XGBoost,classical
pearson,sadness,-0.00013389716608073685,leave_one_genre_out,XGBoost,classical
spearman,sadness,0.04188870800105405,leave_one_genre_out,XGBoost,classical
ece,sadness,0.12391577158189672,leave_one_genre_out,XGBoost,classical
mae,macro,0.15004897884155252,leave_one_genre_out,XGBoost,classical
pearson,macro,0.18235516385230752,leave_one_genre_out,XGBoost,classical
spearman,macro,0.18899367737579997,leave_one_genre_out,XGBoost,classical
ece,macro,0.08654797922851784,leave_one_genre_out,XGBoost,classical
topk_overlap,macro,0.44666666666666666,leave_one_genre_out,XGBoost,classical
mae,amazement,0.17818994275737995,leave_one_genre_out,MLP,classical
pearson,amazement,-0.0711678661835046,leave_one_genre_out,MLP,classical
spearman,amazement,-0.08653119384044823,leave_one_genre_out,MLP,classical
ece,amazement,0.17454902422977914,leave_one_genre_out,MLP,classical
mae,solemnity,0.2261920707985371,leave_one_genre_out,MLP,classical
pearson,solemnity,0.00873197143714673,leave_one_genre_out,MLP,classical
spearman,solemnity,0.03218890087947181,leave_one_genre_out,MLP,classical
ece,solemnity,0.19821576577401673,leave_one_genre_out,MLP,classical
mae,tenderness,0.232050896369086,leave_one_genre_out,MLP,classical
pearson,tenderness,0.1976976608842061,leave_one_genre_out,MLP,classical
spearman,tenderness,0.20604676425330595,leave_one_genre_out,MLP,classical
ece,tenderness,0.18733017167882673,leave_one_genre_out,MLP,classical
