"trip_distance","trips","avg_tip_pct"
30.8,4982,0.10136227350400835
30.9,4330,0.1096197006354385
31,4766,0.10410525755523285
31.1,4026,0.10676542773892093
31.2,4398,0.10418626005362194
31.3,4156,0.11076990959448474
31.4,4330,0.11727889783305552
31.5,4002,0.1006291511635565
31.6,4346,0.1127500708650702
31.7,3962,0.12951906992483297
31.8,4344,0.11445589966573858
31.9,3790,0.10443795161754872
32,4496,0.10623947654582408
32.1,3872,0.10414850184922439
32.2,4168,0.11867478029476329
32.3,3674,0.1474003599478689
32.4,4120,0.11884546369194812
32.5,3372,0.10882058136102205
32.6,3854,0.10697999104710795
32.7,3532,0.10248118543976678
32.8,3764,0.11045886773964353
32.9,3254,0.10532563907811121
33,3556,0.11566896584802051
33.1,2904,0.10792435834353338
33.2,3202,0.11757647184059189
33.3,2934,0.1092277246494419
33.4,3206,0.10656834644243192
33.5,2892,0.11639904454230247
33.6,3104,2.8190504518990953
33.7,2724,0.10592089235678588
33.8,3066,0.11341924717171986
33.9,2740,0.11680313609077078
34,3226,0.11413065255571452
34.1,2590,0.11360592613909855
34.2,2972,0.09941286419338217
34.3,2648,0.09831863324972494
34.4,2970,0.11290854457853394
34.5,2564,0.10875733564986532
34.6,2986,0.10344225186840289
34.7,2498,0.12287788845607976
34.8,2724,0.10843079847926258
34.9,2408,0.11367286293755531
35,2766,0.12068825165708577
35.1,2440,0.11168124771329693
35.2,2628,0.12260122265375062
35.3,2430,0.14721292803558003
35.4,2642,0.1002514053750753
35.5,2450,0.10363521687018122
35.6,2616,0.10117375428028547
35.7,2282,0.1307012092416753
35.8,2636,0.1073142129191888
35.9,2288,0.09464438231110811
36,2676,0.10016628950456954
36.1,2340,0.1149813676650988
36.2,2642,0.0994923819098416
36.3,2282,0.09766335143170692
36.4,2548,0.10323275261829293
36.5,2262,0.10207537094988531
36.6,2452,0.10181747837644377
36.7,2082,0.10348082068455285
36.8,2386,0.09541368568070767
36.9,2020,0.09431399078904919
37,2140,0.09536308103021138
37.1,1972,0.1100633504948021
37.2,2244,0.11494076794362382
37.3,1740,0.09388336274389944
37.4,2042,0.11199684360216079
37.5,1830,0.09635338652637468
37.6,1702,0.11246850820244662
37.7,1636,0.18033746781476467
37.8,1720,0.13288241321716882
37.9,1568,0.1402779098113385
38,1716,0.11420392678170922
38.1,1350,0.11161494514378115
38.2,1618,0.10448468968390397
38.3,1292,0.1007726883833582
38.4,1532,0.10733688854800495
38.5,1234,0.09983213861997677
38.6,1502,0.12036524873329543
38.7,1316,0.1300189876242734
38.8,1464,0.1271859830238099
38.9,1274,0.11075575373221014
39,1402,0.11223583226641644
39.1,1144,0.10405345633078501
39.2,1392,0.11657302615113747
39.3,1104,0.11266248301926422
39.4,1260,0.1221054414566026
39.5,1220,0.12056617106751417
39.6,1304,0.13029145764374725
39.7,1128,0.1340117556464021
39.8,1186,0.10258703967815837
39.9,1064,0.1189788043594083
40,1230,0.16655542460712436
40.1,1036,0.14302809249247844
40.2,1028,0.13749587903920651
40.3,1014,0.16164465314235715
40.4,1064,0.09653342395343598
40.5,972,0.12148957125455624
40.6,1032,0.13442258408866087
40.7,904,0.11549199942698973
40.8,912,0.1313658918516145
40.9,902,0.10666826834928811
41,954,0.1176089415394356
41.1,914,0.13110313048043304
41.2,940,0.11431735891188359
41.3,846,0.09775658954642306
41.4,952,0.128565118259014
41.5,778,0.1377853697404561
41.6,922,0.12335816492069532
41.7,860,0.12434312005717094
41.8,888,0.15862014824801474
41.9,722,0.10972508047544756
42,832,0.12577838047820997
42.1,748,0.10256443965188314
42.2,796,0.10845478767091037
42.3,740,0.1115072325583656
42.4,844,0.12555688426132702
42.5,632,0.12095678306626173
42.6,782,0.09200326463296186
42.7,714,0.1200304887420755
42.8,734,0.12407896799884752
42.9,622,0.11224204642328607
43,674,0.12933588102700105
43.1,616,0.10888394186362241
43.2,720,0.11463756133513212
43.3,608,0.13406703241374168
43.4,696,0.12345310312122432
43.5,626,0.11884071222360258
43.6,654,0.10709550905450989
43.7,630,0.10811964884778873
43.8,648,0.14015429017986816
43.9,554,0.10653435641773874
44,600,0.2136179132654366
44.1,646,0.13032636380943452
44.2,584,0.1396048508370197
44.3,546,0.09221648164486253
44.4,638,0.11224854002335985
44.5,468,0.12533848026408015
44.6,570,0.1490085924858176
44.7,494,0.1077086430286227
44.8,534,0.09704791679386279
44.9,496,0.14264491346375502
45,598,0.11915705259722296
45.1,450,0.12144424613635792
45.2,484,0.1476007543567736
45.3,428,0.11597545029487998
45.4,496,0.13589580347704885
45.5,456,0.12203684948267461
45.6,462,0.09927769993185796
45.7,462,0.10750855478610515
45.8,454,0.16449527914898313
45.9,430,0.10671008048589181
46,478,0.12030034016712615
46.1,418,0.1684299614449894
46.2,448,0.08974171435066454
46.3,414,0.11301870168214227
46.4,440,0.17683796278464275
46.5,408,0.09588750503058598
46.6,472,0.12866087104847562
46.7,368,0.10472052425746897
46.8,408,0.12909849476242258
46.9,408,0.10896569478775164
47,434,0.10479529389825189
47.1,354,0.09607157746918431
47.2,424,0.1784438665109039
47.3,352,0.10837912405713554
47.4,382,0.13279331921244833
47.5,340,0.10218624607182589
47.6,434,0.1501838055431993
47.7,330,0.1439180314839549
47.8,374,0.11125896993648948
47.9,314,0.13127140448849364
48,344,0.18064853731733002
48.1,302,0.09979283688410964
48.2,386,0.09327077978568159
48.3,308,0.1277746028489007
48.4,340,0.19046139883732138
48.5,302,0.14408695913796774
48.6,358,0.2575011433466202
48.7,334,0.1265768614399418
48.8,362,0.21928730380686842
48.9,286,0.11030904488072829
49,326,0.11249741740953086
49.1,286,0.13672961016807209
49.2,286,0.17126271265671572
49.3,276,0.12005357836547868
49.4,290,0.20031404041508363
49.5,290,0.18968561788019533
49.6,282,0.14921940413162407
49.7,288,0.13287941018656493
49.8,288,0.08880030517210218
49.9,326,0.17052218741185496
50,638,0.17679575000987655
